seed,epoch,trainError,testError
3,53,0.0349802,0.0390829
3,54,0.0348872,0.0390153
3,55,0.0347939,0.0389442
3,56,0.0347037,0.0388727
3,57,0.0346189,0.0388036
3,58,0.0345407,0.0387383
3,59,0.0344694,0.0386779
3,60,0.0344047,0.0386225
3,61,0.034346,0.0385722
3,62,0.0342927,0.0385264
3,63,0.0342441,0.0384849
3,64,0.0341996,0.0384471
3,65,0.0341586,0.0384126
3,66,0.0341207,0.038381
3,67,0.0340856,0.038352
3,68,0.0340529,0.0383252
3,69,0.0340223,0.0383004
3,70,0.0339936,0.0382774
3,71,0.0339666,0.0382559
3,72,0.0339411,0.0382358
3,73,0.033917,0.038217
3,74,0.0338941,0.0381993
3,75,0.0338724,0.0381826

4,1,0.0416612,0.0526017
4,2,0.0385385,0.0490378
4,3,0.0353176,0.045151
4,4,0.0333756,0.0426984
4,5,0.0323245,0.0413179
4,6,0.0317495,0.0405434
4,7,0.0313795,0.0400355
4,8,0.031037,0.0395478
4,9,0.0306262,0.0389245
4,10,0.0301601,0.0381406
4,11,0.0297663,0.0373151
4,12,0.0296322,0.0366554
4,13,0.0299039,0.0363507
4,14,0.030589,0.0364647
4,15,0.0315413,0.0369025
4,16,0.0325516,0.0374846
4,17,0.0334608,0.0380568
4,18,0.0341957,0.0385363
4,19,0.0347401,0.0388947
4,20,0.0351026,0.0391306
4,21,0.0353039,0.0392561
4,22,0.0353745,0.0392922
4,23,0.0353509,0.0392649
4,24,0.0352687,0.0391997
4,25,0.0351568,0.0391167
4,26,0.0350346,0.039029
4,27,0.0349136,0.0389441
4,28,0.0347995,0.0388654
4,29,0.0346944,0.038794
4,30,0.0345989,0.0387298
4,31,0.0345124,0.0386722
4,32,0.0344343,0.0386206
4,33,0.0343635,0.0385741
4,34,0.0342993,0.0385322
4,35,0.0342408,0.0384942
4,36,0.0341873,0.0384596
4,37,0.0341383,0.0384279
4,38,0.0340931,0.0383989
4,39,0.0340515,0.0383722
4,40,0.0340129,0.0383475
4,41,0.033977,0.0383246
4,42,0.0339436,0.0383034
4,43,0.0339123,0.0382836
4,44,0.0338831,0.0382652
4,45,0.0338557,0.0382479
4,46,0.0338298,0.0382317
4,47,0.0338055,0.0382165
4,48,0.0337825,0.0382022
4,49,0.0337608,0.0381888
4,50,0.0337402,0.0381761
4,51,0.0337207,0.0381642
4,52,0.0337021,0.0381529
4,53,0.0336844,0.0381422
4,54,0.0336675,0.038132
4,55,0.0336515,0.0381225
4,56,0.0336361,0.0381134
4,57,0.0336214,0.0381047
4,58,0.0336073,0.0380965
4,59,0.0335939,0.0380888
4,60,0.0335809,0.0380814
4,61,0.0335685,0.0380744
4,62,0.0335566,0.0380677

5,1,0.0420939,0.0529501
5,2,0.040737,0.0514959
5,3,0.0381135,0.048415
5,4,0.0358,0.0456095
5,5,0.0341092,0.0434917
5,6,0.0329724,0.0420222
5,7,0.0322398,0.0410496
5,8,0.031772,0.040417
5,9,0.0314571,0.0399865
5,10,0.0312076,0.0396397
5,11,0.0309577,0.0392796
5,12,0.0306687,0.0388404
5,13,0.0303391,0.0383012
5,14,0.0300082,0.0376928
5,15,0.0297457,0.0370885
5,16,0.0296261,0.0365775
5,17,0.0296985,0.0362318
5,18,0.0299663,0.0360809
5,19,0.0303886,0.0361078
5,20,0.030902,0.036265
5,21,0.0314451,0.0364986
5,22,0.0319751,0.036765
5,23,0.0324691,0.0370366
5,24,0.0329194,0.0372988
5,25,0.0333261,0.0375457
5,26,0.0336926,0.0377754
5,27,0.0340224,0.0379876
5,28,0.0343172,0.0381816
5,29,0.0345772,0.0383563
5,30,0.0348017,0.03851
5,31,0.0349905,0.0386414
5,32,0.0351446,0.0387505
5,33,0.0352674,0.0388385
5,34,0.0353633,0.0389081
5,35,0.0354373,0.0389625
5,36,0.0354941,0.0390045
5,37,0.0355376,0.0390371
5,38,0.035571,0.0390622
5,39,0.0355965,0.0390817
5,40,0.035616,0.0390968
5,41,0.0356308,0.0391085
5,42,0.0356417,0.0391176
5,43,0.0356496,0.0391245
5,44,0.0356551,0.0391297
5,45,0.0356584,0.0391335
5,46,0.03566,0.0391361
5,47,0.0356602,0.0391378
5,48,0.035659,0.0391387
5,49,0.0356566,0.0391388
5,50,0.0356532,0.0391383
5,51,0.0356487,0.0391372
5,52,0.0356433,0.0391355
5,53,0.0356369,0.0391333
5,54,0.0356295,0.0391304
5,55,0.035621,0.039127
5,56,0.0356114,0.039123
5,57,0.0356005,0.0391183
5,58,0.0355881,0.0391127
5,59,0.0355741,0.0391062
5,60,0.0355581,0.0390986
5,61,0.0355399,0.0390897
5,62,0.0355189,0.0390793
5,63,0.0354948,0.0390668
5,64,0.0354669,0.0390521
5,65,0.0354346,0.0390344
5,66,0.035397,0.0390133

