**********
SEED 1
**********
Iteration 1	 Training error: 0.251899
Iteration 2	 Training error: 0.250802
Iteration 3	 Training error: 0.2502
Iteration 4	 Training error: 0.249943
Iteration 5	 Training error: 0.249829
Iteration 6	 Training error: 0.249723
Iteration 7	 Training error: 0.249576
Iteration 8	 Training error: 0.249398
Iteration 9	 Training error: 0.249215
Iteration 10	 Training error: 0.249043
Iteration 11	 Training error: 0.248887
Iteration 12	 Training error: 0.248743
Iteration 13	 Training error: 0.248603
Iteration 14	 Training error: 0.248461
Iteration 15	 Training error: 0.248315
Iteration 16	 Training error: 0.248165
Iteration 17	 Training error: 0.248014
Iteration 18	 Training error: 0.24786
Iteration 19	 Training error: 0.247706
Iteration 20	 Training error: 0.24755
Iteration 21	 Training error: 0.247393
Iteration 22	 Training error: 0.247233
Iteration 23	 Training error: 0.24707
Iteration 24	 Training error: 0.246904
Iteration 25	 Training error: 0.246734
Iteration 26	 Training error: 0.24656
Iteration 27	 Training error: 0.246381
Iteration 28	 Training error: 0.246196
Iteration 29	 Training error: 0.246006
Iteration 30	 Training error: 0.245811
Iteration 31	 Training error: 0.245608
Iteration 32	 Training error: 0.245399
Iteration 33	 Training error: 0.245183
Iteration 34	 Training error: 0.244959
Iteration 35	 Training error: 0.244727
Iteration 36	 Training error: 0.244487
Iteration 37	 Training error: 0.244238
Iteration 38	 Training error: 0.24398
Iteration 39	 Training error: 0.243712
Iteration 40	 Training error: 0.243433
Iteration 41	 Training error: 0.243144
Iteration 42	 Training error: 0.242844
Iteration 43	 Training error: 0.242533
Iteration 44	 Training error: 0.242209
Iteration 45	 Training error: 0.241872
Iteration 46	 Training error: 0.241522
Iteration 47	 Training error: 0.241159
Iteration 48	 Training error: 0.240781
Iteration 49	 Training error: 0.240389
Iteration 50	 Training error: 0.239981
Iteration 51	 Training error: 0.239558
Iteration 52	 Training error: 0.239118
Iteration 53	 Training error: 0.238662
Iteration 54	 Training error: 0.238189
Iteration 55	 Training error: 0.237697
Iteration 56	 Training error: 0.237188
Iteration 57	 Training error: 0.23666
Iteration 58	 Training error: 0.236113
Iteration 59	 Training error: 0.235547
Iteration 60	 Training error: 0.23496
Iteration 61	 Training error: 0.234354
Iteration 62	 Training error: 0.233727
Iteration 63	 Training error: 0.233079
Iteration 64	 Training error: 0.232411
Iteration 65	 Training error: 0.231721
Iteration 66	 Training error: 0.23101
Iteration 67	 Training error: 0.230277
Iteration 68	 Training error: 0.229524
Iteration 69	 Training error: 0.228748
Iteration 70	 Training error: 0.227952
Iteration 71	 Training error: 0.227134
Iteration 72	 Training error: 0.226295
Iteration 73	 Training error: 0.225436
Iteration 74	 Training error: 0.224556
Iteration 75	 Training error: 0.223656
Iteration 76	 Training error: 0.222737
Iteration 77	 Training error: 0.221798
Iteration 78	 Training error: 0.220841
Iteration 79	 Training error: 0.219866
Iteration 80	 Training error: 0.218874
Iteration 81	 Training error: 0.217865
Iteration 82	 Training error: 0.216841
Iteration 83	 Training error: 0.215802
Iteration 84	 Training error: 0.214749
Iteration 85	 Training error: 0.213683
Iteration 86	 Training error: 0.212605
Iteration 87	 Training error: 0.211515
Iteration 88	 Training error: 0.210416
Iteration 89	 Training error: 0.209308
Iteration 90	 Training error: 0.208192
Iteration 91	 Training error: 0.207069
Iteration 92	 Training error: 0.20594
Iteration 93	 Training error: 0.204807
Iteration 94	 Training error: 0.20367
Iteration 95	 Training error: 0.202531
Iteration 96	 Training error: 0.20139
Iteration 97	 Training error: 0.200249
Iteration 98	 Training error: 0.199109
Iteration 99	 Training error: 0.197971
Iteration 100	 Training error: 0.196836
Iteration 101	 Training error: 0.195704
Iteration 102	 Training error: 0.194577
Iteration 103	 Training error: 0.193456
Iteration 104	 Training error: 0.192342
Iteration 105	 Training error: 0.191236
Iteration 106	 Training error: 0.190137
Iteration 107	 Training error: 0.189048
Iteration 108	 Training error: 0.187969
Iteration 109	 Training error: 0.1869
Iteration 110	 Training error: 0.185842
Iteration 111	 Training error: 0.184796
Iteration 112	 Training error: 0.183763
Iteration 113	 Training error: 0.182743
Iteration 114	 Training error: 0.181736
Iteration 115	 Training error: 0.180742
Iteration 116	 Training error: 0.179763
Iteration 117	 Training error: 0.178799
Iteration 118	 Training error: 0.17785
Iteration 119	 Training error: 0.176915
Iteration 120	 Training error: 0.175996
Iteration 121	 Training error: 0.175093
Iteration 122	 Training error: 0.174205
Iteration 123	 Training error: 0.173333
Iteration 124	 Training error: 0.172477
Iteration 125	 Training error: 0.171636
Iteration 126	 Training error: 0.170812
Iteration 127	 Training error: 0.170003
Iteration 128	 Training error: 0.169211
Iteration 129	 Training error: 0.168434
Iteration 130	 Training error: 0.167673
Iteration 131	 Training error: 0.166927
Iteration 132	 Training error: 0.166197
Iteration 133	 Training error: 0.165483
Iteration 134	 Training error: 0.164783
Iteration 135	 Training error: 0.164098
Iteration 136	 Training error: 0.163428
Iteration 137	 Training error: 0.162773
Iteration 138	 Training error: 0.162132
Iteration 139	 Training error: 0.161505
Iteration 140	 Training error: 0.160892
Iteration 141	 Training error: 0.160292
Iteration 142	 Training error: 0.159706
Iteration 143	 Training error: 0.159133
Iteration 144	 Training error: 0.158573
Iteration 145	 Training error: 0.158026
Iteration 146	 Training error: 0.157491
Iteration 147	 Training error: 0.156968
Iteration 148	 Training error: 0.156457
Iteration 149	 Training error: 0.155957
Iteration 150	 Training error: 0.155469
Iteration 151	 Training error: 0.154992
Iteration 152	 Training error: 0.154526
Iteration 153	 Training error: 0.15407
Iteration 154	 Training error: 0.153624
Iteration 155	 Training error: 0.153189
Iteration 156	 Training error: 0.152763
Iteration 157	 Training error: 0.152348
Iteration 158	 Training error: 0.151941
Iteration 159	 Training error: 0.151543
Iteration 160	 Training error: 0.151155
Iteration 161	 Training error: 0.150775
Iteration 162	 Training error: 0.150403
Iteration 163	 Training error: 0.15004
Iteration 164	 Training error: 0.149685
Iteration 165	 Training error: 0.149337
Iteration 166	 Training error: 0.148997
Iteration 167	 Training error: 0.148665
Iteration 168	 Training error: 0.14834
Iteration 169	 Training error: 0.148022
Iteration 170	 Training error: 0.14771
Iteration 171	 Training error: 0.147406
Iteration 172	 Training error: 0.147107
Iteration 173	 Training error: 0.146816
